timestamp;buyer;seller;symbol;currency;price;quantity
100;Rhianna;Valentina;STARFRUIT;SEASHELLS;5041.0;4
100;Remy;Vladimir;AMETHYSTS;SEASHELLS;10002.0;1
300;Valentina;Rhianna;AMETHYSTS;SEASHELLS;9998.0;2
300;Valentina;Remy;AMETHYSTS;SEASHELLS;9998.0;1
300;Valentina;Ruby;STARFRUIT;SEASHELLS;5037.0;6
500;Remy;Valentina;STARFRUIT;SEASHELLS;5044.0;1
500;Remy;Vinnie;AMETHYSTS;SEASHELLS;10004.0;1
500;Remy;Valentina;AMETHYSTS;SEASHELLS;10002.0;1
1300;Rhianna;Adam;STARFRUIT;SEASHELLS;5040.0;2
1400;Valentina;Remy;STARFRUIT;SEASHELLS;5036.0;1
1500;Remy;Valentina;STARFRUIT;SEASHELLS;5041.0;1
1500;Remy;Valentina;AMETHYSTS;SEASHELLS;10002.0;1
1700;Ruby;Valentina;AMETHYSTS;SEASHELLS;10005.0;6
2400;Adam;Valentina;STARFRUIT;SEASHELLS;5042.0;10
2700;Vladimir;Rhianna;AMETHYSTS;SEASHELLS;9998.0;5
2800;Remy;Valentina;STARFRUIT;SEASHELLS;5041.0;1
2900;Adam;Remy;AMETHYSTS;SEASHELLS;9998.0;1
3100;Vinnie;Remy;STARFRUIT;SEASHELLS;5035.0;1
3300;Ruby;Amelia;AMETHYSTS;SEASHELLS;9996.0;2
3300;Vinnie;Amelia;AMETHYSTS;SEASHELLS;9996.0;2
3700;Remy;Vinnie;STARFRUIT;SEASHELLS;5040.0;1
3700;Valentina;Vinnie;STARFRUIT;SEASHELLS;5037.0;4
3800;Valentina;Amelia;STARFRUIT;SEASHELLS;5034.0;11
4200;Valentina;Ruby;STARFRUIT;SEASHELLS;5035.0;2
4200;Vladimir;Ruby;STARFRUIT;SEASHELLS;5035.0;3
4300;Valentina;Ruby;AMETHYSTS;SEASHELLS;9996.0;1
4300;Vinnie;Ruby;AMETHYSTS;SEASHELLS;9996.0;2
4300;Valentina;Remy;AMETHYSTS;SEASHELLS;9995.0;1
4300;Vinnie;Remy;STARFRUIT;SEASHELLS;5035.0;1
4400;Vladimir;Remy;STARFRUIT;SEASHELLS;5035.0;1
4400;Valentina;Remy;AMETHYSTS;SEASHELLS;9998.0;1
4800;Rhianna;Valentina;AMETHYSTS;SEASHELLS;10002.0;3
4800;Remy;Vladimir;STARFRUIT;SEASHELLS;5039.0;1
4900;Remy;Rhianna;AMETHYSTS;SEASHELLS;9998.0;1
4900;Valentina;Rhianna;AMETHYSTS;SEASHELLS;9998.0;4
5400;Valentina;Vinnie;STARFRUIT;SEASHELLS;5035.0;6
6700;Rhianna;Valentina;AMETHYSTS;SEASHELLS;10002.0;4
6800;Valentina;Remy;STARFRUIT;SEASHELLS;5030.0;2
6800;Valentina;Remy;AMETHYSTS;SEASHELLS;9996.0;1
6800;Vinnie;Remy;AMETHYSTS;SEASHELLS;9996.0;1
6800;Vladimir;Amelia;AMETHYSTS;SEASHELLS;9998.0;1
6900;Remy;Vladimir;STARFRUIT;SEASHELLS;5035.0;1
7200;Remy;Vinnie;AMETHYSTS;SEASHELLS;10004.0;1
7200;Remy;Vinnie;STARFRUIT;SEASHELLS;5036.0;1
7300;Valentina;Amelia;STARFRUIT;SEASHELLS;5030.0;15
7400;Remy;Valentina;AMETHYSTS;SEASHELLS;10002.0;1
7700;Remy;Vladimir;STARFRUIT;SEASHELLS;5035.0;1
7700;Remy;Vladimir;STARFRUIT;SEASHELLS;5036.0;1
7700;Remy;Valentina;AMETHYSTS;SEASHELLS;10005.0;1
7800;Remy;Valentina;STARFRUIT;SEASHELLS;5036.0;1
7900;Remy;Valentina;STARFRUIT;SEASHELLS;5035.0;1
7900;Remy;Vladimir;AMETHYSTS;SEASHELLS;10002.0;1
8100;Ruby;Valentina;STARFRUIT;SEASHELLS;5037.0;14
8200;Valentina;Rhianna;AMETHYSTS;SEASHELLS;9998.0;1
8300;Ruby;Valentina;STARFRUIT;SEASHELLS;5037.0;11
8900;Rhianna;Valentina;AMETHYSTS;SEASHELLS;10002.0;5
9300;Rhianna;Valentina;STARFRUIT;SEASHELLS;5034.0;4
9600;Rhianna;Adam;STARFRUIT;SEASHELLS;5034.0;1
9600;Rhianna;Remy;STARFRUIT;SEASHELLS;5034.0;1
10100;Rhianna;Valentina;STARFRUIT;SEASHELLS;5033.0;4
10300;Remy;Vinnie;STARFRUIT;SEASHELLS;5035.0;2
10300;Remy;Vinnie;AMETHYSTS;SEASHELLS;10004.0;2
10600;Valentina;Remy;AMETHYSTS;SEASHELLS;9998.0;1
10600;Valentina;Rhianna;AMETHYSTS;SEASHELLS;9998.0;1
10700;Valentina;Ruby;STARFRUIT;SEASHELLS;5029.0;6
10800;Remy;Valentina;AMETHYSTS;SEASHELLS;10002.0;1
10800;Valentina;Remy;STARFRUIT;SEASHELLS;5029.0;1
11100;Vinnie;Ruby;AMETHYSTS;SEASHELLS;9996.0;2
11300;Ruby;Valentina;STARFRUIT;SEASHELLS;5034.0;6
11400;Vladimir;Remy;AMETHYSTS;SEASHELLS;9998.0;1
12000;Rhianna;Valentina;STARFRUIT;SEASHELLS;5032.0;15
12100;Vinnie;Ruby;STARFRUIT;SEASHELLS;5026.0;2
12100;Remy;Vladimir;AMETHYSTS;SEASHELLS;10002.0;1
12300;Remy;Vinnie;AMETHYSTS;SEASHELLS;10002.0;1
12500;Rhianna;Valentina;AMETHYSTS;SEASHELLS;10002.0;5
13300;Remy;Vladimir;STARFRUIT;SEASHELLS;5034.0;1
13600;Rhianna;Valentina;STARFRUIT;SEASHELLS;5033.0;5
13700;Vinnie;Remy;AMETHYSTS;SEASHELLS;9998.0;1
14000;Remy;Remy;STARFRUIT;SEASHELLS;5035.0;1
14000;Vinnie;Remy;AMETHYSTS;SEASHELLS;9996.0;1
14300;Vinnie;Remy;STARFRUIT;SEASHELLS;5029.0;1
14500;Valentina;Remy;STARFRUIT;SEASHELLS;5029.0;1
14500;Valentina;Vinnie;STARFRUIT;SEASHELLS;5032.0;2
14800;Vinnie;Remy;STARFRUIT;SEASHELLS;5029.0;1
15000;Vinnie;Remy;STARFRUIT;SEASHELLS;5029.0;1
15100;Remy;Valentina;STARFRUIT;SEASHELLS;5033.0;1
15100;Remy;Valentina;AMETHYSTS;SEASHELLS;10002.0;1
15200;Vladimir;Adam;STARFRUIT;SEASHELLS;5029.0;7
15400;Remy;Vladimir;AMETHYSTS;SEASHELLS;10002.0;1
15400;Remy;Vladimir;STARFRUIT;SEASHELLS;5033.0;1
15500;Valentina;Ruby;STARFRUIT;SEASHELLS;5028.0;4
15500;Remy;Vladimir;STARFRUIT;SEASHELLS;5033.0;1
15800;Valentina;Amelia;STARFRUIT;SEASHELLS;5028.0;11
15800;Vladimir;Rhianna;AMETHYSTS;SEASHELLS;9998.0;4
16200;Rhianna;Remy;STARFRUIT;SEASHELLS;5033.0;1
16700;Valentina;Remy;STARFRUIT;SEASHELLS;5028.0;1
16800;Remy;Valentina;STARFRUIT;SEASHELLS;5035.0;2
16800;Remy;Vladimir;AMETHYSTS;SEASHELLS;10002.0;2
17100;Vinnie;Remy;STARFRUIT;SEASHELLS;5028.0;1
17300;Valentina;Remy;AMETHYSTS;SEASHELLS;9998.0;1
18000;Rhianna;Valentina;STARFRUIT;SEASHELLS;5030.0;5
18200;Ruby;Vinnie;STARFRUIT;SEASHELLS;5033.0;1
18600;Remy;Vladimir;AMETHYSTS;SEASHELLS;10002.0;1
18700;Amelia;Vladimir;STARFRUIT;SEASHELLS;5033.0;3
18700;Rhianna;Vladimir;STARFRUIT;SEASHELLS;5033.0;5
18700;Amelia;Valentina;STARFRUIT;SEASHELLS;5033.0;12
