timestamp;ORCHIDS;TRANSPORT_FEES;EXPORT_TARIFF;IMPORT_TARIFF;SUNLIGHT;HUMIDITY;DAY
0;1098.25;0.9;10.5;-5.0;2100.0;70.0;1
100;1098.25;0.9;9.5;-5.0;2099.757;70.02271;1
200;1096.75;0.9;9.5;-5.0;2099.5132;70.045395;1
300;1097.0;0.9;9.5;-5.0;2099.2683;70.06803;1
400;1097.25;0.9;9.5;-5.0;2099.0225;70.09064;1
500;1097.75;0.9;9.5;-5.0;2098.7756;70.1132;1
600;1097.25;0.9;9.5;-5.0;2098.528;70.13572;1
700;1097.25;0.9;9.5;-5.0;2098.2795;70.15821;1
800;1096.75;0.9;9.5;-5.0;2098.03;70.18066;1
900;1097.25;0.9;9.5;-5.0;2097.7795;70.20307;1
1000;1097.5;0.9;9.5;-5.0;2097.528;70.22544;1
1100;1096.25;0.9;9.5;-5.0;2097.276;70.24778;1
1200;1098.25;0.9;9.5;-5.0;2097.0225;70.27007;1
1300;1097.75;0.9;9.5;-5.0;2096.7683;70.292336;1
1400;1098.75;0.9;9.5;-5.0;2096.5132;70.31456;1
1500;1097.75;0.9;9.5;-5.0;2096.2573;70.33675;1
1600;1098.25;0.9;9.5;-5.0;2096.0005;70.358894;1
1700;1098.75;0.9;9.5;-5.0;2095.7424;70.381004;1
1800;1098.75;0.9;9.5;-5.0;2095.484;70.403076;1
1900;1100.75;0.9;9.5;-5.0;2095.224;70.42511;1
2000;1100.75;0.9;9.5;-5.0;2094.9636;70.44711;1
2100;1100.75;0.9;9.5;-5.0;2094.7021;70.46907;1
2200;1101.75;0.9;9.5;-5.0;2094.4397;70.491;1
2300;1102.75;0.9;9.5;-5.0;2094.1765;70.512886;1
2400;1102.75;0.9;9.5;-5.0;2093.9124;70.53474;1
2500;1100.25;0.9;9.5;-5.0;2093.6472;70.55655;1
2600;1098.25;0.9;9.5;-5.0;2093.381;70.57833;1
2700;1098.75;0.9;9.5;-5.0;2093.1143;70.60007;1
2800;1099.75;0.9;9.5;-5.0;2092.8464;70.62177;1
2900;1101.75;0.9;9.5;-5.0;2092.578;70.64344;1
3000;1102.25;0.9;9.5;-5.0;2092.3083;70.66508;1
3100;1104.25;0.9;9.5;-5.0;2092.0378;70.68667;1
3200;1102.75;0.9;9.5;-5.0;2091.7666;70.70823;1
3300;1102.25;0.9;9.5;-5.0;2091.4944;70.72975;1
3400;1102.25;0.9;9.5;-5.0;2091.2212;70.75124;1
3500;1102.0;0.9;9.5;-5.0;2090.9473;70.77269;1
3600;1101.75;0.9;9.5;-5.0;2090.6724;70.794106;1
3700;1101.25;0.9;9.5;-5.0;2090.3967;70.81548;1
3800;1102.25;0.9;9.5;-5.0;2090.12;70.83683;1
3900;1102.25;0.9;9.5;-5.0;2089.8425;70.85814;1
4000;1103.25;0.9;9.5;-5.0;2089.5642;70.87941;1
4100;1103.25;0.9;9.5;-5.0;2089.2852;70.90064;1
4200;1102.75;0.9;9.5;-5.0;2089.005;70.921844;1
4300;1103.75;0.9;9.5;-5.0;2088.724;70.94301;1
4400;1104.0;0.9;9.5;-5.0;2088.4421;70.964134;1
4500;1104.25;0.9;9.5;-5.0;2088.1594;70.98523;1
4600;1104.25;0.9;9.5;-5.0;2087.876;71.00629;1
4700;1103.25;0.9;9.5;-5.0;2087.5916;71.02731;1
