day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;COCONUT;10135;150;10134;64;;;10136;150;10137;64;;;10135.5;0.0
2;0;COCONUT_COUPON;682;38;;;;;683;38;;;;;682.5;0.0
2;100;COCONUT_COUPON;681;19;680;20;;;682;39;;;;;681.5;0.0
2;100;COCONUT;10134;150;;;;;10136;106;10137;44;;;10135.0;0.0
2;200;COCONUT;10135;136;10134;55;;;10136;136;10137;55;;;10135.5;0.0
2;200;COCONUT_COUPON;681;35;;;;;682;35;;;;;681.5;0.0
2;300;COCONUT;10134;168;;;;;10136;107;10137;61;;;10135.0;0.0
2;300;COCONUT_COUPON;682;34;;;;;683;34;;;;;682.5;0.0
2;400;COCONUT;10133;127;10132;54;;;10134;127;10135;54;;;10133.5;0.0
2;400;COCONUT_COUPON;682;46;;;;;683;46;;;;;682.5;0.0
2;500;COCONUT_COUPON;684;34;;;;;685;34;;;;;684.5;0.0
2;500;COCONUT;10133;196;;;;;10135;120;10136;76;;;10134.0;0.0
2;600;COCONUT;10133;142;10132;57;;;10135;199;;;;;10134.0;0.0
2;600;COCONUT_COUPON;683;49;;;;;685;37;;;;;684.0;0.0
2;700;COCONUT;10132;161;;;;;10134;116;10135;45;;;10133.0;0.0
2;700;COCONUT_COUPON;682;30;;;;;684;30;;;;;683.0;0.0
2;800;COCONUT;10133;121;10132;70;;;10135;191;;;;;10134.0;0.0
2;800;COCONUT_COUPON;684;39;;;;;685;39;;;;;684.5;0.0
2;900;COCONUT_COUPON;683;38;;;;;684;38;;;;;683.5;0.0
2;900;COCONUT;10133;130;10132;45;;;10134;130;10135;45;;;10133.5;0.0
2;1000;COCONUT;10132;138;10131;63;;;10133;138;10134;63;;;10132.5;0.0
2;1000;COCONUT_COUPON;682;50;;;;;683;20;684;30;;;682.5;0.0
2;1100;COCONUT;10133;112;10132;50;;;10134;112;10135;50;;;10133.5;0.0
2;1100;COCONUT_COUPON;682;48;;;;;683;48;;;;;682.5;0.0
2;1200;COCONUT;10133;115;10132;71;;;10135;186;;;;;10134.0;0.0
2;1200;COCONUT_COUPON;681;33;;;;;682;33;;;;;681.5;0.0
2;1300;COCONUT_COUPON;681;27;;;;;682;27;;;;;681.5;0.0
2;1300;COCONUT;10132;119;10131;67;;;10133;119;10134;67;;;10132.5;0.0
2;1400;COCONUT;10131;139;10130;43;;;10133;182;;;;;10132.0;0.0
2;1400;COCONUT_COUPON;682;41;;;;;683;41;;;;;682.5;0.0
2;1500;COCONUT;10132;184;;;;;10134;111;10135;73;;;10133.0;0.0
2;1500;COCONUT_COUPON;683;44;;;;;684;44;;;;;683.5;0.0
2;1600;COCONUT;10132;105;10131;66;;;10133;105;10134;66;;;10132.5;0.0
2;1600;COCONUT_COUPON;682;42;;;;;683;42;;;;;682.5;0.0
2;1700;COCONUT_COUPON;682;58;;;;;683;47;;;;;682.5;0.0
2;1700;COCONUT;10130;121;10129;42;;;10132;163;;;;;10131.0;0.0
2;1800;COCONUT;10129;163;;;;;10131;101;10132;62;;;10130.0;0.0
2;1800;COCONUT_COUPON;682;32;;;;;684;32;;;;;683.0;0.0
2;1900;COCONUT;10128;154;10127;72;;;10129;146;10130;72;;;10128.5;0.0
2;1900;COCONUT_COUPON;680;43;;;;;681;43;;;;;680.5;0.0
